"org_id","dept_code","abbr_en","legal_title_en","applied_title_en","old_applied_title_en","Status","enabling_instrument_en","description_en","PAS","FAA_schedule_institutional","FAA_schedule_HR_status","auditor_en","incorp_yr","federal_ownership_en","end_yr","notes_en","dp_status","ministry","institutional_form","eval_url_id","dept_website_id","article1_fr","article2_fr","other_lang_abbr","other_lang_applied_title","other_lang_legal_title"
1,"AGR","AAFC","Department of Agriculture and Agri-Food","Agriculture and Agri-Food Canada",,"a","Department of Agriculture and Agri-Food Act, R.S.C. 1985, c. A-9","The Department of Agriculture and Agri-Food (AAFC) was created in 1868 —  one year after Confederation — because of the importance of agriculture  to the economic, social and cultural development of Canada. Today, the  Department helps create the conditions for the long-term profitability,  sustainability and adaptability of the Canadian agricultural sector.  AAFC supports the sector through initiatives that promote innovation and  competitiveness, and that proactively manage risk. The Department’s goal  is to position agriculture, agri-food and agri-based product industries  to realize their full potential by seizing new opportunities in the growing domestic and global marketplace.    The Minister of Agriculture and Agri-Food is responsible for this organization.","AGR","I",,,1994,,,,0,17,"min_dept",,37,,"d'","AAC","Agriculture et Agroalimentaire Canada","Ministère de l’Agriculture et de l’Agroalimentaire"
2,"HC","HC","House of Commons",,,"a","Parliament of Canada Act, R.S.C., 1985, c. P-1","The House of Commons is where Members of Parliament – the men and women elected by Canadians to represent them in our national legislature – come together to make laws, hold government to account and decide the affairs of the country.","HOC",,,,1867,,,,99,11,"parl_ent",,181,"la","de la","CC",,"Chambre des communes"
4,,,"Aboriginal Healing Foundation",,,"d","Incorporated through the Funding Agreements with the Government of Canada","The Foundation was created in response to the Royal Commission on Aboriginal Peoples to address the healing needs of Aboriginal people affected by the legacy of Indian Residential Schools, including intergenerational effects. The Foundation fulfills its mandate primarily through the financial support of healing projects and healing centres across Canada. The Foundation has also published several research projects concerning the Indian Residential School experience, reconciliation, healing, the impacts of lump-sum payments, and other related issues. In addition, the Foundation contributes to public education about Indian Residential Schools and their impacts. On March 31, 2010, funding for 134 healing projects ended. Funding for twelve healing projects will continue until March 31, 2012. As part of its wind-down strategy, the Foundation will fulfill the remaining work of its mandate, which includes the publication of annual reports, corporate plans, newsletters, and the production of five more major research projects.",,,,,1998,,2013,,99,,"shared_gov_corp",,,,,,,"Fondation autochtone de guérison"
5,,,"Aéroport de Québec Inc.",,,"a","Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",,,,"Raymond Chabot Grant Thornton LLP",2000,"2/15 board members",,,99,2,"shared_gov_corp",,35,,,,,"Aéroport de Québec Inc."
6,,,"Aéroports de Montréal",,,"a","Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airports.",,,,"KPMG LLP",1992,"2/15 board members",,,99,2,"shared_gov_corp",,33,,,,,"Aéroports de Montréal"
7,,,"African Development Bank",,,"a","Articles of Agreement of the African Development Bank, 1963; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18","The African Development Bank (AFDB) has a mandate to contribute to the sustainable economic development and social progress of its regional members individually and jointly.",,,,"KPMG LLP",1964,"3.9% ownership",,,99,22,"inter_org",,36,,,,,"Banque africaine de développement"
8,,,"Asian Development Bank",,,"a","Articles of Agreement of the Asian Development Bank, 1965; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18","The Asian Development Bank (ADB) aims for an Asia and Pacific free from poverty. The ADB is an international development finance institution whose mission is to help its developing member countries reduce poverty and improve the quality of life of their people.",,,,"Deloitte & Touche LLP",1966,"5.2% ownership",,,99,22,"inter_org",,32,,,,,"Banque asiatique de développement"
9,,,"Asia-Pacific Foundation of Canada",,,"a","Asia-Pacific Foundation of Canada Act, R.S.C. 1985, c. A-13","The Asia-Pacific Foundation of Canada is an independent, not-for-profit think tank on Canada’s relations with Asia. The Foundation functions as a knowledge broker, bringing together people and knowledge to provide the most current and comprehensive research, analysis, and information on Canada’s trans-Pacific relations. It promotes dialogue on economic, security, political, and social issues, helping to influence public policy and foster informed decision making in Canadian public, private, and non-governmental sectors.",,,,"Deloitte & Touche LLP",1984,"5/24 board members",,,99,22,"shared_gov_corp",,40,,,,,"Fondation Asie-Pacifique du Canada"
10,"AHRAC","AHRAC","Assisted Human Reproduction Agency of Canada",,,"d","Assisted Human Reproduction Act, S.C. 2004, c. 2","To protect and promote the health, safety, dignity, and rights of Canadians and to foster the application of ethical principles in relation to assisted human reproduction and other matters to which the Assisted Human Reproduction Act applies.",,,,,2006,,2012,"Bill C-38 (41/1), as passed by the House of Commons on June 29, 2012, dissolves the Agency by amending section 3 of the Assisted Human Reproduction Act to repeal the definition of Agency. P.C. decision 2012-1136 fixes September 30, 2012 as the day in which this amendment comes into force.",99,,"dept_corp",,,"l'","de l'","AHRAC",,"Agence canadienne de contrôle de la procréation assistée"
11,,,"Association of Canada Lands Surveyors",,,"a","Canada Lands Surveyors Act, S.C. 1998, c. 14 Canada Lands Surveys Act, R.S.C. 1985, c. L-6","To establish and maintain qualification standards and regulate Canada Lands Surveyors; to establish and maintain standards of conduct, knowledge, and skill among members of the Association and permit holders; to govern the activities of the members and permit holders; to cooperate with other organizations for the advancement of surveying; and to perform the duties and exercise the powers that are imposed or conferred on the Association by the Canada Lands Surveyors Act.",,,,"Leslie, MacLeod",1985,"3/9 board members",,,99,10,"shared_gov_corp",,30,,,,,"Association des Arpenteurs des Terres du Canada"
12,"ACOA","ACOA","Atlantic Canada Opportunities Agency",,,"a","Atlantic Canada Opportunities Agency Act, R.S.C. 1985, c. 41 (4th Supp.)","Established in 1987 (Part I of the Government Organization Act, Atlantic Canada 1987, R.S.C., 1985, c.41 (4th Supp.), also known as the Atlantic Canada Opportunities Agency Act), the Atlantic Canada Opportunities Agency (ACOA) is the federal department responsible for the Government of Canada’s economic development efforts in the provinces of New Brunswick, Prince Edward Island, Nova Scotia, and Newfoundland and Labrador. ACOA works to create opportunities for economic growth in Atlantic Canada by helping businesses become more competitive, innovative and  productive, by working with diverse communities to develop and diversify local economies, and by championing the strengths of Atlantic Canada. Together, with Atlantic Canadians, it is building a stronger economy. The Minister of Economic Development and Official Languages is responsible for this organization.","ACO","I.1","IV",,1987,,,,0,27,"dept_agency",,31,"L'","de l'","APECA",,"Agence de promotion économique du Canada atlantique"
